Codigo;Descripci�n;"Cod SubRubro";SubRubro;"Cod Rubro";Rubro;"Cod Marca";Marca;"Cod Provedor";Proveedor;Temporada;"Fecha Alta";"Fecha Modificado";"Precio Costo";"Precio Venta";"Utilidad 1";"Utilidad 2";Cantidad;"Stock Min";Vencimiento;Reponer;imagenes
"Cod: 4511";"LINTERNA METALICA CON APLIQUE 12799";10;REGALERIA;5;BAZAR;1;"Sin Especificar";0;;0;03-06-2017;13-06-2025;280;526.00;88;69;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 4019";"LINTERNA MINERO LL536B";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";0;;0;02-11-2016;21-06-2025;582;1,059.00;82;82;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/img/productos/3/1513174437_20171213_100906.jpg
"Cod: 5358";"LINTERNA MINI C/ PILAS 17316";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";;;0;27-03-2018;14-07-2021;77;140.00;82;82;0;;;;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 6217";"LINTERNA MINI LED 4 COL SC998";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";0;;0;04-06-2019;31-07-2025;1916;3,296.00;72;72;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/1560292116_Screenshot_132.jpg
"Cod: 2823";"LINTERNAS CON AUMENTO";8;JUGUETERIA;4;JUGUETERIA;1;"Sin Especificar";;;0;03-06-2015;05-12-2017;35;54.00;55;55;0;10;;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 6469";"LIQUIDO DESMAQUILLANTE ";138;ACCESORIOS;15;COSMETICA;1;"Sin Especificar";0;;0;23-10-2019;11-03-2026;26093;44,880.00;72;72;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/1573046556_Screenshot_301.jpg
"Cod: 8359";"LLAMAS Y ALPACAS MINI DIVERTILIBROS 9955398";144;"EDITORIAL GUADAL S.A.";18;LIBROS;1;"Sin Especificar";0;;2;10-08-2022;27-01-2025;2747;5,494.00;100;100;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/llamas.png
"Cod: 7249";"LLAVERO 1872";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;07-05-2021;25-11-2025;589;1,178.00;100;100;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/1620424970_Screenshot_862.jpg
"Cod: 1039";"LLAVERO 28-90-04";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;18-08-2012;27-01-2025;226;339.00;50;50;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 316";"LLAVERO ANIMAL 6 MOD 3,5"" A1088";12;PELUCHE;4;JUGUETERIA;1;"Sin Especificar";;;0;02-06-2010;05-12-2017;28;39.00;38;38;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 736";"LLAVERO BORLA 462-18";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;06-01-2012;09-09-2025;127;239.00;88;88;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 1287";"LLAVERO C/ CANDADO";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;12-10-2012;28-01-2025;127;248.00;95;95;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 770";"LLAVERO C/ FLOR METAL Y PIEDRAS LH-28-100-12";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;18-02-2012;05-12-2017;173;277.00;60;60;0;10;;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 769";"LLAVERO C/ PIEDRA -FLOR-ELEFANTE-CADE LH-28-107-3";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;18-02-2012;05-12-2017;127;220.00;73;73;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 610";"LLAVERO C/ PIEDRAS Y CADENA LH-100-7/9";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;02-09-2011;05-12-2017;101;164.00;62;62;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 5739";"LLAVERO CALAVERA YW1623";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;29-05-2018;22-03-2022;310;682.00;120;120;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1527599620_Screenshot_15.jpg
"Cod: 1763";"LLAVERO CAMISETA ARGENTINA 36400819";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;20-08-2013;05-12-2017;62;100.00;62;62;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 36312";"LLAVERO CAPIBARA CON MOCHILA GZ135";7;"JUGUETERIA ECON";4;JUGUETERIA;1;"Sin Especificar";140;"NEXO Import";2;25-07-2025;13-04-2026;1300;3,900.00;200;50;7;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_284.jpg
"Cod: 36313";"LLAVERO CAPIBARA FLOTADOR GJ133";7;"JUGUETERIA ECON";4;JUGUETERIA;1;"Sin Especificar";140;"NEXO Import";0;25-07-2025;11-03-2026;2270;6,800.00;200;100;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_286.jpg
"Cod: 5740";"LLAVERO CARAS C/ PIE ABK72-24";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;29-05-2018;28-03-2026;110;226.00;105;105;0;0;0000-00-00;;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 1200";"LLAVERO CON APLIQUES 28-90-01";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;10-10-2012;28-01-2025;197;315.00;60;60;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 4311";"LLAVERO CON LINTERNA 14537";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;30-01-2017;05-12-2017;62;187.00;201;130;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
